Adverse Health Effects of Frailty Among CKD Patients,,,,
Related adverse health effects ,Method,References,,Sample Group
,,Conditions,,
,,Data,p-value,
Nosocomial infections,,,"Heuberger, 2011: RR = 2.1, 1.1–3.8, p < 0.001 (in frail, further increase with cancer)",
Viral infection - HCV,,"(1) Yadla, John, & Mummadi, 2017",,
,,,,
,,,0.004,
,,,"(Frailty in those with serological infections due to hepatitis B and hepatitis C was found in 14/15 patients and 36/37 patients, respectively (P = 0.31 and P = 0.004).)",
Health-care utilization,descriptive cross-sectional study,"SI, A. P., Senior, P. A., Field, C. J., Jindal, K., & Mager, D. R. (2018). Frailty, Health Related Quality of Life, Cognition, Depression, Vitamin D and Health Care Utilization in an Ambulatory Adult Population with Type 1 and Type 2 Diabetes Mellitus and Chronic Kidney Disease: a cross sectional analysis. Canadian Journal of Diabetes.",,"""41 ambulatory adults (41 through 83 years of age) with type 1 (n=3) or type 2 (n=38) diabetes mellitus and CKD (stages 1 through V).  Exclusion criteria: Thoses who were on dialysis  (estimated glomerular filtration rate <10 mL/min/1.73 m^2) and had body weights >136 kg, and coinciding comorbidities known to influence vitD metabolism were excluded. ""        "
,,Frail vs. Nonfrail,,
,Cumulative individual health-care events (numbers and types) between 2012 and 2017: A chart review conducted using electronic medical records,,"Health-care utilization : Higher cumulative number of inpatient (p<0.001), emergency (p=0.002) and total (p=0.001) health-care visits",
