Adverse Health Effects of Frailty Among CKD Patients,,,,,
Related adverse health effects ,Method,References,,Sample Group,comment
,,Conditions,,,
,,Data,p-value,,
CHF,,,,,
,,,,,
,,,,,
Heart failure,,"Roshanravan, B., Khatri, M., Robinson-Cohen, C., Levin, G., Patel, K. V., De Boer, I. H., ... & Kestenbaum, B. (2012). A prospective study of frailty in nephrology-referred patients with CKD. American Journal of Kidney Diseases, 60(6), 912-921.",,,
,,Nonfrail vs. Frail,,,
,,Heart Failure Prevalence (%):12 vs. 30,,,
Angina,,"Roshanravan, B., Khatri, M., Robinson-Cohen, C., Levin, G., Patel, K. V., De Boer, I. H., ... & Kestenbaum, B. (2012). A prospective study of frailty in nephrology-referred patients with CKD. American Journal of Kidney Diseases, 60(6), 912-921.",,,
,,Nonfrail vs. Frail,,,
,,Angina Prevalence(%):  22 vs. 34,,,
Brain wave,"Frailty: simple FRAIL scale (SFS), Fatigue, Resistance, Ambulation, Illness, and Loss of body weight (leading to the acronym “FRAIL”)","(1)Chao, C.-T., Lai, H.-J., Tsai, H.-B., Yang, S.-Y., &Huang, J.-W. (2017). Frail phenotype is associated with distinct quantitative electroencephalographic findings among end-stage renal disease patients: an observational study. BMC Geriatrics, 17(1), 277. ",,Patients with ESRD under chronic dialysis with catastrophic illness certificates were prospectively enrolled from National Taiwan University Hospital Jinshan branch,
,"Brain wave: electroencephalography, a total of 21 silver/silver chloride cup electrodes were placed on the scalp, as per International 10-20 system.",moderate to severe frailty v. none to mild frailty,,Exclusion criteria: refusal to participate and pregnancy,
,Continuous variables were expressed as mean ± standard deviation and compared between groups using a Student’s t-test or one-way analysis of variance (ANOVA),DAR (global): 283 ± 679 vs. 2971 ± 4859,DAR (gloibal): 0.02,,
,Spectral analysis with brain EEG map- ping for the different frequency bands was also done to evaluate anatomical clustering.,DARs (left frontal): 135 ± 250 vs. 3073 ± 4702,DARs (left frontal): 0.01,,
,,"left TO: 197 ± 318 vs. 3708 ± 6398,",Left TO:0.01,,
,,"Central: 55 ± 96 vs. 1773 ± 3262, ",Central: 0.03,,
,,"right TO: 187 ± 261 vs. 4400 ± 7763, ",Right TO: 0.02,,
,,global DTABR: 191 ± 469 vs. 1781 ± 2793,Global DTABR:0.02,,
,,DTABRs (left frontal): 86 ± 158 vs. 1680 ± 2388 ,DTABR (left frontal):<.01,,
,,left TO: 130 ± 210 vs. 1884 ± 2828,Left TO:0.01,,
,,Central: 39 ± 65 vs. 1132 ± 1957,Central: 0.02,,
,,right TO DTABR: 126 ± 178 vs. 2960 ± ,Right TO DTABR: 0.03,,
,,,Overall p=.02,,
Diabetes,,"Roshanravan, B., Khatri, M., Robinson-Cohen, C., Levin, G., Patel, K. V., De Boer, I. H., ... & Kestenbaum, B. (2012). A prospective study of frailty in nephrology-referred patients with CKD. American Journal of Kidney Diseases, 60(6), 912-921.",,,
,,Nonfrial vs. Frail,,,
,,Diabetes Prevalence (%): 49 vs. 64,,,
Obese,,"Roshanravan, B., Khatri, M., Robinson-Cohen, C., Levin, G., Patel, K. V., De Boer, I. H., ... & Kestenbaum, B. (2012). A prospective study of frailty in nephrology-referred patients with CKD. American Journal of Kidney Diseases, 60(6), 912-921.",,,
,,Nonfrail vs. Frail,,,
,,Obese (% in all nutritional status): 50 vs. 64,,,
,,"McAdams-DeMarco, M. A., Tan, J., Salter, M. L., Gross, A., Meoni, L. A., Jaar, B. G., ... & Sozio, S. M. (2015). Frailty and cognitive function in incident hemodialysis patients. Clinical Journal of the American Society of Nephrology, 10(12), 2181-2189.",,,
,,Nonfrail vs. Intermediate Frail vs. Frail (at baseline),,,
,Body mass index (BMI): self-reportd height and dry weight.,Dry weight body mass index (kg/m^2): 27.6 vs. 29.7 vs. 31.5,Dry weight body mass index (kg/m^2): 0.004,,
,,Obese (%): 23.9 vs. 41.8 vs. 51.8,Obese: <0.001,,
"Disability
 ADL (activities of daily living)
 IADL (instrumental activities of daily living)
 Falls",,"Roshanravan, B., Khatri, M., Robinson-Cohen, C., Levin, G., Patel, K. V., De Boer, I. H., ... & Kestenbaum, B. (2012). A prospective study of frailty in nephrology-referred patients with CKD. American Journal of Kidney Diseases, 60(6), 912-921.",,,
,,Nonfrail vs. Frail,,,
,,ADL (%):5 vs. 15,ADL: 0.009,,
,,IADL (%):28 vs. 60,IADL: <0.001,,
,,Mobility Disability (%):18 vs. 40,Mobility Disability: 0.001,,
