Adverse Health Effects of Frailty Among CKD Patients,,,,
Related adverse health effects ,Method,References,,Sample Group
,,Conditions,,
,,Data,p-value,
Mood,The Edmonton Frail Scale,"Orlandi & Gesualdo, 2014",,N/A
,,"The Edmonton Frail Scale itself evaluates nine domains, with mood being one of them. So it’s rational to deduce that frailty accounts for negative mood change.",,
Good interaction with family,Interview,"Moffatt, Moorhouse, Mallery, Landry, & Tennankore, 2018",,
,,Interview only,,
Cognitive impairments,Review,"Kittiskulnam, P. et al. (2016). Consequences of CKD on Functioning. Seminars in Nephrology, 36(4), 305–318. ",,
,,There’s no adverse health effects of frailty other than mortality and morbidities mentioned.,,
,"Grouping: Nonfrail, intermediate frail, and frail. Fried frailty phenotype.","McAdams-Demarco, M. A., Tan, J., Salter, M. L., Gross, A., Meoni, L. A., Jaar, B. G., …Sozio, S. M. (2015). Frailty and cognitive function in incident hemodialysis patients. Clinical Journal of the American Society of Nephrology, 10(12), 2181–2189.",,"A longitudinal cohort study (Predictors of Arrhythmic and Cardiovascular Risk in ESRD [PACE] trial; R01DK072367)  with 324 adults enrolled (November 2008 to July 2012), 95% of which were enrolled within the first month of hemodialysis. Patients located 27 free-standing dialysis centers in Baltimore, Maryland, and six surrounding counties. Eligible criteria: ≥ 18 years at enrollment and the ability to speak English."
,"Cognitive function: 
Global cognitive function: Modified Mini-Mental State (3MS); 
Speed/Attention: Trail Making Tests A and B (TMTA and TMTB)*. 
",Nonfrail vs. Intermediate Frail vs. Frail,,
,"Cognitive impairment was defined as a score <80 for the 3MS, a time 1.5 SD above the mean (from this cohort) for the TMTA/TMTB.",At cohort entry: 3MS (points): Reference vs. -1.29 (-3.05 to 0.48) vs. -2.37 (-4.21 to -0.53); TMTA (seconds): Reference vs. 6.12 (−0.94 to 13.18) vs. 12.08 (4.73 to 19.43); TMTB (seconds): Reference vs. 19.87 (−2.34 to 42.08) vs. 33.15 (9.88 to 56.42),At cohort entry: 3MS: 0.01; TMTA: <0.001; TMTB: 0.01,
,"*The TMTA and TMTB are time tests that measure executive function. Both of these tests assess scanning, speed of processing, attention and concentration, and psychomotor speed, and the TMTB further assesses cognitive shifting and complex sequencing function. The tests measure the time required to connect a series of sequentially numbered (TMTA) and numbered/lettered (TMTB) circles.",At 1-year follow-up: 3MS (points): Reference vs. −1.74 (−4.16 to 0.69) vs. −2.80 (−5.37 to −0.24),At 1-year follow-up: 3MS: 0.03,
Functional independence,,"Fabrício-Wehbe, Suzele Cristina Coelho, Schiaveto, Fábio Veiga, Vendrusculo, Thaís Ramos Pereira, Haas, Vanderlei José, Dantas, Rosana Aparecida Spadoti, & Rodrigues, Rosalina Aparecida Partezani. (2009). Adaptação cultural e validade da Edmonton Frail Scale - EFS em uma amostra de idosos brasileiros. Revista Latino-Americana de Enfermagem, 17(6), 1043-1049.",,A subsample of 137 elderly people was selected from 515 elderly using simple random sampling (SRS).
,Frailty grouping: Edmonton Frail Scale (EFS).,"Spearman's correlation coefficient of frailty diagnosis with global, motor, and cognitive FIM",,
,Functional independence: Functional Independence Measure (FIM).,"Spearman’s correlation coefficient: -0.703 (moderate), -0.714 (moderate), -0.575 (weak)",All correlations: <0.01,
,Cognitive assessment: Mini-Mental State Examination (MMSE).,Spearman’s correlation coefficient of frailty scores (EFS) with gross functional dependence (FIM) and the gross MMSE score,,
,,Spearman’s correlation coefficient: -0.53 and -0.607 (weak),<0.01,
,,Spearman’s correlation coefficient between functional independence on the EFS and FIM scores,,
,,Spearman's correlation coefficient: -0.57,<0.01,
Depression (Beck dep. scale),descriptive cross-sectional study,"SI, A. P., Senior, P. A., Field, C. J., Jindal, K., & Mager, D. R. (2018). Frailty, Health Related Quality of Life, Cognition, Depression, Vitamin D and Health Care Utilization in an Ambulatory Adult Population with Type 1 and Type 2 Diabetes Mellitus and Chronic Kidney Disease: a cross sectional analysis. Canadian Journal of Diabetes.",,"41 ambulatory adults (41 through 83 years of age) with type 1 (n=3) or type 2 (n=38) diabetes mellitus and CKD (stages 1 through V). 
Exclusion criteria: Thoses who were on dialysis  (estimated glomerular filtration rate <10 mL/min/1.73 m^2) and had body weights >136 kg, and coinciding comorbidities known to influence vitD metabolism were excluded. "
,"Depression: the validated, self-reported Major Depression Inventory (scores ≥20 are considered abnormal)",,Depression: 0.0002,
HRQOL,Narrative,"Soni, Weisbord, & Unruh, 2010",,
,,Narrative only,,
